id,firstName,lastName,gender,nacionality,genreMovieFavorite
1,Tiffie,Groll,Female,Colombia,Drama
2,Pavel,Walklett,Male,Colombia,Comedy
3,Berna,Colnett,Female,EEUU,Action
4,Marni,Passion,Polygender,Colombia,Romance
5,Paul,Mueller,Male,EEUU,Crime
6,Guy,Lugton,Male,EEUU,Drama
7,Randell,Artiss,Male,Colombia,Action
8,Binky,Baggelley,Male,EEUU,Comedy
9,Danila,Bullier,Female,Colombia,Action
10,Nomi,Marginson,Female,Colombia,Action
11,Valera,Loveday,Non-binary,EEUU,Comedy
12,Lyman,Geaves,Male,Colombia,Comedy
13,Pryce,Neill,Male,EEUU,Fantasy
14,Rolando,Linzee,Male,Colombia,Comedy
15,Giavani,Ferronet,Male,Colombia,Drama
16,Gennifer,Robbins,Female,EEUU,Comedy
17,Karyl,Martinek,Female,Colombia,Children
18,Vivyanne,Eberdt,Female,EEUU,Documentary
19,Cherice,Kernes,Female,EEUU,Drama
20,Saunderson,Pesterfield,Polygender,Colombia,Action
21,Avictor,Cosgry,Male,Colombia,Comedy
22,Dukie,Lacroix,Male,Colombia,Comedy
23,Dominga,Whitely,Female,EEUU,Children
24,Tamar,Middlewick,Female,EEUU,Drama
25,Jillene,Jurca,Female,Colombia,Drama
26,Clemmie,Peres,Male,EEUU,Comedy
27,Howie,Martinek,Male,Colombia,Drama
28,Marne,Pattison,Female,EEUU,Drama
29,Shepperd,Inmett,Male,Colombia,Comedy
30,Tannie,Catlow,Male,Colombia,Drama
31,Simonne,Drance,Female,Colombia,Comedy
32,Brittaney,Pringley,Female,Colombia,Comedy
33,Huntley,Kilborn,Male,EEUU,Comedy
34,Perren,Veevers,Male,EEUU,Action
35,Toinette,Crosoer,Female,Colombia,Comedy
36,Alexi,Orviss,Female,EEUU,Drama
37,Maynard,Malby,Polygender,EEUU,(no genres listed)
38,Marietta,Pencott,Female,Colombia,Comedy
39,Des,Seage,Male,EEUU,Comedy
40,Marylin,Fountaine,Female,Colombia,Drama
41,Galina,Ramsdale,Agender,EEUU,Drama
42,Kevina,Glanester,Female,EEUU,Comedy
43,Tristam,Hruska,Male,EEUU,Action
44,Ludvig,Gavrieli,Male,Colombia,Documentary
45,Vick,Guiducci,Bigender,EEUU,Action
46,Philis,Follis,Female,EEUU,Comedy
47,Averell,Harback,Male,EEUU,Animation
48,Mychal,Piers,Male,Colombia,Comedy
49,Jedediah,Hacquard,Male,Colombia,Drama
50,Stevy,Franc,Male,Colombia,Drama
51,Hilary,Barrow,Female,Colombia,Drama
52,Vinson,Birkby,Male,Colombia,Comedy
53,Merlina,Beyne,Female,EEUU,Horror
54,Kin,Laurenz,Male,EEUU,Drama
55,Meggie,Maher,Female,Colombia,Drama
56,Floyd,Domonkos,Male,EEUU,Drama
57,Brod,Izac,Male,EEUU,Horror
58,Thibaud,Alyoshin,Male,EEUU,Drama
59,Smith,Samsin,Male,Colombia,Action
60,Grannie,Jaspar,Male,EEUU,Adventure
61,Coral,Bazire,Agender,Colombia,Comedy
62,Dotti,Scarlett,Female,Colombia,Comedy
63,Myles,Morson,Male,Colombia,Mystery
64,Lesli,Brockelsby,Female,Colombia,Crime
65,Chancey,Colleymore,Male,Colombia,(no genres listed)
66,Tobiah,Downage,Male,EEUU,Crime
67,Aguie,Criple,Male,EEUU,Drama
68,Mirilla,Huggons,Female,EEUU,Comedy
69,Hyacinth,Le land,Agender,Colombia,Comedy
70,Dare,Sharrock,Male,EEUU,Drama
71,Louisette,Fache,Female,EEUU,Drama
72,Ned,Learmonth,Male,EEUU,Action
73,Garreth,Brakewell,Non-binary,EEUU,Documentary
74,Roana,Patzelt,Female,Colombia,Drama
